"id","titleKo","year","director","kofaExactRank","inDegree","goldInDegree","weightedInDegree","pageRank"
"film_0001","하녀","1960","김기영","1","6","4","13","0.037012484576799114"
"film_0002","오발탄","1961","유현목","4","3","0","2","0.042155898586779664"
"film_0003","만추","1966","이만희","","1","1","3","0.03894446034358702"
"film_0004","안개","1967","김수용","","1","1","3","0.01094547965372148"
"film_0005","화녀","1970","김기영","","1","0","1.333333","0.0075928102102390226"
"film_0006","충녀","1972","김기영","","1","1","3","0.0075928102102390226"
"film_0007","별들의 고향","1974","이장호","","4","0","4.666667","0.0388564527707175"
"film_0008","아내들의 행진","1974","임권택","","1","0","1.333333","0.01949478673460479"
"film_0009","바보들의 행진","1975","하길종","6","2","0","4","0.015974483818945166"
"film_0010","삼포가는 길","1975","이만희","","0","0","0","0.0059164754884977935"
"film_0011","영자의 전성시대","1975","김호선","","3","0","4.666667","0.021003487984168852"
"film_0012","미스 염의 순정시절","1976","김선경","","0","0","0","0.0059164754884977935"
"film_0013","겨울여자","1977","김호선","","0","0","0","0.0059164754884977935"
"film_0014","속 별들의 고향","1978","하길종","","0","0","0","0.0059164754884977935"
"film_0015","바람 불어 좋은 날","1980","이장호","","4","0","4","0.03080166443274316"
"film_0016","속 병태와 영자","1980","이강윤","","0","0","0","0.0059164754884977935"
"film_0017","최후의 증인","1980","이두용","","2","1","3.666667","0.023038139252680806"
"film_0018","난장이가 쏘아올린 작은 공","1981","이원세","","0","0","0","0.0059164754884977935"
"film_0019","별들의 고향 3","1981","이경태","","0","0","0","0.0059164754884977935"
"film_0020","꼬방동네 사람들","1982","배창호","","0","0","0","0.0059164754884977935"
"film_0021","속 영자의 전성시대","1982","심재석","","0","0","0","0.0059164754884977935"
"film_0023","고래사냥","1984","배창호","","0","0","0","0.0059164754884977935"
"film_0024","87 영자의 전성시대","1987","유진선","","0","0","0","0.0059164754884977935"
"film_0025","칠수와 만수","1988","박광수","","0","0","0","0.0059164754884977935"
"film_0026","그들도 우리처럼","1990","박광수","","0","0","0","0.0059164754884977935"
"film_0027","서편제","1993","임권택","","3","2","5.666667","0.021003487984168852"
"film_0028","꽃잎","1996","장선우","","1","0","0.666667","0.012014143038831894"
"film_0029","돼지가 우물에 빠진 날","1996","홍상수","10","1","0","1.333333","0.01094547965372148"
"film_0030","8월의 크리스마스","1998","허진호","8","4","2","5","0.026032492149392537"
"film_0031","여고괴담","1998","박기형","","1","1","3","0.01949478673460479"
"film_0032","박하사탕","1999","이창동","","1","0","2","0.007173726529803715"
"film_0033","쉬리","1999","강제규","","6","0","7.666667","0.024555222175859794"
"film_0034","여고괴담 두번째 이야기","1999","김태용, 민규동","","2","0","1.333333","0.015974483818945166"
"film_0035","인정사정 볼 것 없다","1999","이명세","","4","1","6.666667","0.0270299113088254"
"film_0036","공동경비구역 JSA","2000","박찬욱","","5","0","6","0.017231734860251088"
"film_0037","플란다스의 개","2000","봉준호","","0","0","0","0.0059164754884977935"
"film_0038","공공의 적","2002","강우석","","0","0","0","0.0059164754884977935"
"film_0039","복수는 나의 것","2002","박찬욱","","2","1","2.666667","0.020249137359386826"
"film_0040","재밌는 영화","2002","장규성","","0","0","0","0.0059164754884977935"
"film_0041","살인의 추억","2003","봉준호","2","4","3","8.666667","0.03458179923027586"
"film_0042","올드보이","2003","박찬욱","5","2","1","4.333333","0.015974483818945166"
"film_0044","지구를 지켜라!","2003","장준환","","1","0","0.666667","0.01094547965372148"
"film_0045","인어공주","2004","박흥식","","0","0","0","0.0059164754884977935"
"film_0046","사랑해, 말순씨","2005","박흥식","","0","0","0","0.0059164754884977935"
"film_0047","야수와 미녀","2005","이계벽","","0","0","0","0.0059164754884977935"
"film_0048","괴물","2006","봉준호","","3","1","4.333333","0.03810210214593547"
"film_0049","애정결핍이 두 남자에게 미치는 영향","2006","김성훈","","0","0","0","0.0059164754884977935"
"film_0051","추격자","2008","나홍진","","1","0","1.333333","0.01094547965372148"
"film_0052","마더","2009","봉준호","","2","0","1.333333","0.015974483818945166"
"film_0053","박쥐","2009","박찬욱","","1","0","2","0.01094547965372148"
"film_0054","불청객","2010","이응일","","0","0","0","0.0059164754884977935"
"film_0055","시","2010","이창동","7","1","0","0.666667","0.01094547965372148"
"film_0056","악마를 보았다","2010","김지운","","0","0","0","0.0059164754884977935"
"film_0057","의형제","2010","장훈","","0","0","0","0.0059164754884977935"
"film_0058","하녀","2010","임상수","","0","0","0","0.0059164754884977935"
"film_0059","7광구","2011","김지훈","","0","0","0","0.0059164754884977935"
"film_0062","건축학개론","2012","이용주","","0","0","0","0.0059164754884977935"
"film_0063","내가 살인범이다","2012","정병길","","0","0","0","0.0059164754884977935"
"film_0064","돈의 맛","2012","임상수","","0","0","0","0.0059164754884977935"
"film_0065","두레소리","2012","조정래","","0","0","0","0.0059164754884977935"
"film_0066","몽타주","2013","정근섭","","0","0","0","0.0059164754884977935"
"film_0067","베를린","2013","류승완","","0","0","0","0.0059164754884977935"
"film_0068","한공주","2013","이수진","","0","0","0","0.0059164754884977935"
"film_0069","도리화가","2015","이종필","","0","0","0","0.0059164754884977935"
"film_0071","성실한 나라의 앨리스","2015","안국진","","0","0","0","0.0059164754884977935"
"film_0072","곡성","2016","나홍진","","1","1","2","0.01094547965372148"
"film_0073","대배우","2016","석민우","","0","0","0","0.0059164754884977935"
"film_0074","부산행","2016","연상호","","4","0","6","0.026032492149392537"
"film_0075","비밀은 없다","2016","이경미","","0","0","0","0.0059164754884977935"
"film_0076","아가씨","2016","박찬욱","","0","0","0","0.0059164754884977935"
"film_0077","우리들","2016","윤가은","","0","0","0","0.0059164754884977935"
"film_0078","강철비","2017","양우석","","0","0","0","0.0059164754884977935"
"film_0079","공조","2017","김성훈","","0","0","0","0.0059164754884977935"
"film_0081","희생부활자","2017","곽경택","","0","0","0","0.0059164754884977935"
"film_0082","물괴","2018","허종호","","0","0","0","0.0059164754884977935"
"film_0083","죄 많은 소녀","2018","김의석","","0","0","0","0.0059164754884977935"
"film_0084","창궐","2018","김성훈","","0","0","0","0.0059164754884977935"
"film_0086","기묘한 가족","2019","이민재","","0","0","0","0.0059164754884977935"
"film_0087","기생충","2019","봉준호","3","0","0","0","0.0059164754884977935"
"film_0088","사바하","2019","장재현","","0","0","0","0.0059164754884977935"
"film_0089","#살아있다","2020","조일형","","0","0","0","0.0059164754884977935"
"film_0090","소리꾼","2020","조정래","","0","0","0","0.0059164754884977935"
"film_0091","헤어질 결심","2022","박찬욱","8","0","0","0","0.0059164754884977935"
"film_0092","거미집","2023","김지운","","0","0","0","0.0059164754884977935"
"film_0093","괴인","2023","이정홍","","0","0","0","0.0059164754884977935"
"film_0094","베테랑2","2024","류승완","","0","0","0","0.0059164754884977935"
"film_0095","좀비딸","2025","필감성","","0","0","0","0.0059164754884977935"